output1,output2,output3,output4,output5,output6,output7,output8
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],N_total [#/m³],,
0.877116478621237,107.234372812328,0.002,5.87307691414054e-09,1.45208654496804,1.01594508508259e+17,,
particle size,N in droplet core at breakup,N in droplet surface shell at breakup,particle size gas phase,N after breakup,N final,binMidPoints [m],dN/(dlogDp*N_total) [-]
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³],[m],[-]
2.24086552760162e-15,2.34124557154426e-122,9.44289788414982e-116,1.05873310204296e-15,5.552108232228e-128,5.29938101335659e-74,,
3.18769690059217e-15,9.17737996641297e-127,4.2237699773014e-120,1.5060788728134e-15,2.17635464989678e-132,2.53871759992023e-79,,
4.53459228359881e-15,3.14946731807439e-131,1.65376385901542e-124,2.14244134499807e-15,7.46875237537777e-137,1.02770491192669e-84,,
6.45059044812387e-15,9.46493026223679e-136,5.66946018674243e-129,3.04768561568278e-15,2.24454529098233e-141,3.52472193661081e-90,,
9.17615400174494e-15,2.49155442527253e-140,1.70222456213771e-133,4.33542212659646e-15,5.90855568665331e-146,1.02666213704437e-95,,
1.30533480525383e-14,5.74648677911212e-145,4.47719931393789e-138,6.16726506141654e-15,1.36274113832722e-150,2.5453027454216e-101,,
1.85687702438628e-14,1.16149112477204e-149,1.03184335218011e-142,8.77311533389917e-15,2.75439898910439e-155,5.38210559334291e-107,,
2.64146199872697e-14,2.05782915610037e-154,2.08419450981602e-147,1.24800137330596e-14,4.88000504388256e-160,9.72513050244704e-113,,
3.75755712364678e-14,0,0,1.77531853679772e-14,0,0,,
5.34523515548331e-14,0,0,2.52544265936871e-14,0,0,,
