output1,output2,output3,output4,output5,output6
d_break/d_0,surfaceShellWidth [nm],time [s],mean diam [nm],geo. std [-],total number concentration [#/m³]
0.877142095813331,89.3285440529824,1.52e-05,6.05319685298945e-09,1.45112431817094,1.0120901299068e+17
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
6.60394656830802e-17,1.02864301978455e-192,4.2301016066219e-74,3.37052289142988e-17,2.47386556692603e-198,4.88775142697504e-25
9.39430757810927e-17,5.90393688210068e-200,7.71885642744376e-78,4.79466761483247e-17,1.41988482700175e-205,1.68136528729888e-29
1.33636779097582e-16,2.63782056536983e-207,1.22815506915335e-81,6.82055523051816e-17,6.34390487553646e-213,4.63639981183241e-34
1.90102235626079e-16,9.17697113915828e-215,1.70472909035453e-85,9.70243974965805e-17,2.20704291704547e-220,1.03461507261448e-38
2.704260027372e-16,2.48669481383235e-222,2.06514980363863e-89,1.38020049562142e-16,5.98045051302819e-228,1.88317610993781e-43
3.84688916022342e-16,5.24961986849257e-230,2.18435452616061e-93,1.96337566350851e-16,1.26252291439596e-235,2.81468083321935e-48
5.47231259614694e-16,8.63622363543207e-238,2.01809497407975e-97,2.79295943472464e-16,2.07699424086336e-243,3.47451005289854e-53
7.78452508057424e-16,1.10742536199858e-245,1.62918159119155e-101,3.97306666727133e-16,2.66333549958148e-251,3.56003885758657e-58
1.10737151186789e-15,1.10713202285368e-253,1.14963785797252e-105,5.65180379862509e-16,2.66263002489683e-259,3.04099470541055e-63
1.57526843655069e-15,8.63126933035948e-262,7.0935385882376e-110,8.03985657761215e-16,2.07580274055748e-267,2.17399901145757e-68
2.24086552760162e-15,5.24846665384937e-270,3.82837736404529e-114,1.14369316578715e-15,1.26224556861689e-275,1.30522598150921e-73
3.18769690059217e-15,2.48978373779962e-278,1.80779683264518e-118,1.6269370539651e-15,5.98787931242166e-284,6.6014777408419e-79
4.53459228359881e-15,9.21611559011256e-287,7.47127544864075e-123,2.31436565046088e-15,2.21645707798269e-292,2.82060308029186e-84
6.45059044812387e-15,2.66240364850555e-295,2.70315986249743e-127,3.29225297990423e-15,6.40302669110201e-301,1.02068859519788e-89
9.17615400174494e-15,6.00399825943728e-304,8.56440262019133e-132,4.68332637132333e-15,1.44395625653563e-309,3.13548624462665e-95
1.30533480525383e-14,-2.25392771034991e-309,2.37674457745271e-136,6.66216904782651e-15,-0,8.1941537226401e-101
1.85687702438628e-14,-4.47815756688971e-308,5.77876842457549e-141,9.47713076192812e-15,-9.88131291682493e-314,1.82534921337667e-106
2.64146199872697e-14,-4.84200259922238e-308,1.23128453175912e-145,1.34814963165767e-14,-9.88131291682493e-314,3.47233798438632e-112
3.75755712364678e-14,0,0,1.91778236999754e-14,0,0
5.34523515548331e-14,0,0,2.72810163820694e-14,0,0
