output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,22.4558599935815,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.52234214480405e-23,5.47771895829439e-07,2.91772959724647e+20,1.03995389315832e-23,12677473846342.7,12807208417398.9
1.81246590815078e-23,2.04349433962426e-09,2.38648462961044e+20,1.23814543519765e-23,10369225614716.8,10482392147165.7
2.15788065739431e-23,6.46369268741711e-12,1.88003451214735e+20,1.47410777418706e-23,8168710486558.64,8264958116825.79
2.5691235959894e-23,1.7370465335989e-14,1.41623427505694e+20,1.75503916433843e-23,6153508193244.64,6232619331585.84
3.05874007853595e-23,3.97379054083925e-17,1.01178745449906e+20,2.0895096832797e-23,4396195248721.67,4458450005104.37
3.64166631868057e-23,7.75271097702111e-20,6.79118999397363e+19,2.48772267037438e-23,2950757795218.42,2997184752052.11
4.33568503243341e-23,1.2921293067044e-22,4.23702588798841e+19,2.96182598923435e-23,1840978853281.74,1873427366881.2
5.16196791673048e-23,1.84276534376466e-25,2.42762440168482e+19,3.52628260978296e-23,1054797706070.74,1075793539375.86
6.14572151206283e-23,2.25224487983841e-28,1.26011174408987e+19,4.19831181482481e-23,547515907376.91,559925055808.224
7.31695615182256e-23,2.3625275501966e-31,5.83701078524726e+18,4.99841449054545e-23,253616893219.395,260217987536.002
8.71140145589251e-23,2.12987746884129e-34,2.37325793422415e+18,5.95099852542452e-23,103117559009.395,106227737686.794
1.03715962964768e-22,1.65241147862624e-37,8.32056231613281e+17,7.08512339594713e-23,36152668584.9114,37428399739.7756
1.23481864866106e-22,1.10460630601043e-40,2.46909061109323e+17,8.43538665340477e-23,10728146870.0613,11175481849.5596
1.47014697785632e-22,6.36993052641088e-44,6.08675019140571e+16,1.00429793549033e-22,2644680179.87649,2776290583.52116
1.75032353037724e-22,3.17238384994901e-47,1.22481640611325e+16,1.19569426354989e-22,532180157.123742,564076431.923656
2.08389535681626e-22,1.36590968145e-50,1.98262169482021e+15,1.42356637543827e-22,86144496.4159636,92405449.4643576
2.48103838107257e-22,5.08957577084536e-54,255796615592270,1.69486572534176e-22,11114309.2465263,12096212.324651
2.95386782653019e-22,1.64278504179426e-57,26281601075919.6,2.01786855639511e-22,1141930.04929044,1263983.6062689
3.51680780240012e-22,4.59742821961486e-61,2171263016246.55,2.40242837530214e-22,94340.9222293043,106369.794945882
4.1870313248073e-22,1.11650376585765e-64,147130278941.126,2.86027654287248e-22,6392.77973202693,7342.7354245193
4.98498419588157e-22,2.35490788748905e-68,8389096833.4043,3.40538015027301e-22,364.504496236687,425.858610739049
5.93500872227954e-22,4.31714034999491e-72,412341371.097174,4.05436809834734e-22,17.9161460088104,21.2416910076324
