output1,output2,output3,output4,output5,output6
d_lock/d_0,surfaceShellWidth [nm],time [s],,,
0.877142095813331,86.4865851438324,1.52e-05,,,
particle size,particle number concentration in droplet core at breakup,particle number concentration in droplet surface shell at breakup,particle size gas phase,particle number concentration after breakup,particle number concentration final
[m³],[#/m³],[#/m³],[m³],[#/m³],[#/m³]
1.07115817967641e-25,1.67361869283993e+21,3.25895940265155e+21,7.31737686527915e-26,4.03392092489897e+15,3.18001440439513e+15
1.19405249347514e-25,1.78678995585999e+21,3.4598210936089e+21,8.15690180727872e-26,4.30669747068384e+15,3.41636785780859e+15
1.33104651042754e-25,1.8967085573501e+21,3.65454833330122e+21,9.09274570909347e-26,4.57163413067908e+15,3.65038346946984e+15
1.48375789389716e-25,2.0008684922769e+21,3.8396797242912e+21,1.01359592751823e-25,4.8226906842626e+15,3.87773363458863e+15
1.65398990227246e-25,2.09641405205438e+21,4.01142644795799e+21,1.12988610607913e-25,5.05298402080123e+15,4.09340744781556e+15
1.84375268234218e-25,2.18017821829581e+21,4.16574068242779e+21,1.25951829328725e-25,5.25488068006038e+15,4.29174413273839e+15
2.05528700566636e-25,2.24875301178038e+21,4.298413590931e+21,1.40402322197784e-25,5.4201664142252e+15,4.46651251040236e+15
2.29109072822872e-25,2.29860026104043e+21,4.40520925952473e+21,1.56510724644431e-25,5.5403131732803e+15,4.61105141878798e+15
2.55394828581314e-25,2.32620882766797e+21,4.48203703118696e+21,1.74467249154313e-25,5.6068580649583e+15,4.71848329497817e+15
2.84696357339398e-25,2.32829993691425e+21,4.52515894333096e+21,1.94483931351194e-25,5.61189826281275e+15,4.78200760338998e+15
3.17359659678921e-25,2.30207848651887e+21,4.53142693293646e+21,2.16797133772432e-25,5.54869673555709e+15,4.79527782517356e+15
3.53770432936913e-25,2.24552121568826e+21,4.49853946825411e+21,2.41670336903405e-25,5.41237682037279e+15,4.75285786202205e+15
3.94358625626807e-25,2.15768188225538e+21,4.42529831612249e+21,2.69397250428189e-25,5.20065779101445e+15,4.65073904126866e+15
4.39603514389789e-25,2.03898385212466e+21,4.31184165326645e+21,3.00305281435e-25,4.9145600857623e+15,4.48688595717541e+15
4.90039363426357e-25,1.89145943761154e+21,4.15982354803346e+21,3.34759400529939e-25,4.55898218430606e+15,4.26176149201263e+15
5.46261733236242e-25,1.71888698508515e+21,3.97250634370562e+21,3.73166451511178e-25,4.14303102990895e+15,3.97876381222649e+15
6.08934513162037e-25,1.52677480629335e+21,3.75473413069084e+21,4.15979955493408e-25,3.67998329910169e+15,3.64449528730486e+15
